City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
464,callao,-12.0667,-77.15,28.16,65,40,5.66,PE,1706462321
465,tromso,69.6496,18.957,2.01,80,75,9.77,NO,1706462322
466,luganville,-15.5333,167.1667,26.46,80,100,3.12,VU,1706462322
467,kadhan,24.481,68.9859,21.49,60,100,5.02,PK,1706462322
468,kohat,33.582,71.4493,13.04,71,97,2.52,PK,1706462322
469,dunedin,-45.8742,170.5036,13.22,93,41,2.68,NZ,1706462085
470,beltran,-27.8291,-64.061,34.88,23,5,3.5,AR,1706462322
471,bato,13.3528,123.3677,20.99,93,37,2.27,PH,1706462322
472,pekanbaru,0.5333,101.45,26.18,94,92,0.0,ID,1706462322
473,suntar,62.1444,117.6319,-43.42,100,92,1.04,RU,1706462323
474,nabire,-3.3667,135.4833,25.87,85,91,1.63,ID,1706462323
475,mezhdurechenskiy,59.6,65.9333,-18.17,100,100,1.29,RU,1706462323
476,ust-tsilma,65.441,52.1498,-8.55,94,100,3.13,RU,1706462323
477,tevriz,57.509,72.4042,-20.64,100,99,1.17,RU,1706462323
478,lethem,3.3803,-59.7968,35.52,34,28,5.84,GY,1706462323
479,pankovka,58.5,31.1999,-3.83,93,100,3.02,RU,1706462323
480,maumere,-8.6199,122.2111,26.79,85,96,2.25,ID,1706462323
481,zhalantun,48.0,122.7167,-23.22,86,98,3.25,CN,1706462324
482,tosontsengel,48.7567,98.2839,-28.56,89,47,0.41,MN,1706462324
483,naugatuck,41.4859,-73.0507,3.59,93,100,7.2,US,1706462324
484,holualoa,19.6228,-155.9522,20.91,83,0,4.63,US,1706462324
485,mitsamiouli,-11.3847,43.2844,27.93,72,62,1.53,KM,1706462324
486,glace bay,46.1969,-59.957,-0.47,82,100,5.14,CA,1706462325
487,illizi,26.4833,8.4667,21.89,18,0,4.65,DZ,1706462325
488,ghadamis,30.1337,9.5007,16.57,45,0,3.89,LY,1706462325
489,rio grande,-32.035,-52.0986,29.06,65,18,4.88,BR,1706462325
490,manali,13.1667,80.2667,26.05,72,65,4.64,IN,1706462325
491,taulaga,-11.0553,-171.0883,29.33,71,99,3.16,AS,1706462325
492,khandyga,62.6667,135.6,-44.71,100,98,0.35,RU,1706462325
493,san lorenzo,-25.3333,-57.5333,35.0,34,20,2.57,PY,1706462104
494,howard springs,-12.497,131.047,25.95,96,100,2.49,AU,1706462325
